------------------------------
ID: 20347018_2217918
Report type: position_tracking_rankings_overview
Period: 20240828 - 20260309
------------------------------

Keyword,*.attackacrack.com/*_20260309,*.attackacrack.com/*_20260309_visibility,*.attackacrack.com/*_20260309_type,*.attackacrack.com/*_20260309_landing,*.attackacrack.com/*_difference,*.attackacrack.com/*_visibility_difference,*.a1foundationcrackrepair.com/*_20260309,*.a1foundationcrackrepair.com/*_20260309_visibility,*.a1foundationcrackrepair.com/*_20260309_type,*.a1foundationcrackrepair.com/*_20260309_landing,*.a1foundationcrackrepair.com/*_difference,*.a1foundationcrackrepair.com/*_visibility_difference,*.crackx.com/*_20260309,*.crackx.com/*_20260309_visibility,*.crackx.com/*_20260309_type,*.crackx.com/*_20260309_landing,*.crackx.com/*_difference,*.crackx.com/*_visibility_difference,*.groundworks.com/*_20260309,*.groundworks.com/*_20260309_visibility,*.groundworks.com/*_20260309_type,*.groundworks.com/*_20260309_landing,*.groundworks.com/*_difference,*.groundworks.com/*_visibility_difference,Tags,Intents,CPC,Search Volume,Keyword Difficulty
a 1 foundation crack repair,22,0.01151,organic,https://www.attackacrack.com/massachusetts,78,0.01151,2,0.14675,organic,https://www.a1foundationcrackrepair.com/,98,0.14675,23,0.01127,organic,https://crackx.com/natick-massachusetts/,77,0.01127,67,0.00399,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,33,0.00399,,n,7.88,10,28
concrete foundation crack,22,0.01151,organic,https://www.attackacrack.com/,78,0.01151,39,0.00751,organic,https://www.a1foundationcrackrepair.com/,61,0.00751,-,0.00000,,,-,0.00000,93,0.00094,organic,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,7,0.00094,,i,n/a,10,23
crack in the foundation,24,0.01104,organic,https://www.attackacrack.com/,76,0.01104,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,14,0.01526,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,86,0.01526,,i,9.53,30,14
foundation repair massachusetts,24,0.01104,organic,https://www.attackacrack.com/massachusetts,29,0.00540,8,0.04109,organic,https://www.a1foundationcrackrepair.com/,0,0.00000,30,0.00963,organic,https://crackx.com/natick-massachusetts/,-23,-0.03499,28,0.01010,organic,https://www.groundworks.com/service-areas/foundation-repair-sharon-ma/,72,0.01010,tracking,c,11.14,10,27
professional foundation crack repair services,24,0.01104,organic,https://www.attackacrack.com/massachusetts,76,0.01104,5,0.07162,organic,https://www.a1foundationcrackrepair.com/,95,0.07162,8,0.04109,organic,https://crackx.com/foundation-crack-repair-in-malden/,92,0.04109,46,0.00646,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,54,0.00646,,c,n/a,n/a,9
foundation crack repair expert,25,0.01080,organic,https://www.attackacrack.com/massachusetts,75,0.01080,1,0.42735,ai overview,https://www.a1foundationcrackrepair.com/,99,0.42735,1,0.42735,ai overview,https://crackx.com/natick-massachusetts/,99,0.42735,78,0.00270,organic,https://www.groundworks.com/resources/benefits-of-repairing-foundation-cracks/,22,0.00270,,i,n/a,n/a,19
fix cracked foundation,28,0.01010,organic,https://www.attackacrack.com/,72,0.01010,29,0.00986,organic,https://www.a1foundationcrackrepair.com/,71,0.00986,-,0.00000,,,-,0.00000,15,0.01468,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,85,0.01468,,i,n/a,n/a,42
carbon fiber staples,29,0.00986,organic,https://www.attackacrack.com/carbon-fiber-stitches,71,0.00986,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,c,n/a,10,8
foundation repair ma,30,0.00963,organic,https://www.attackacrack.com/massachusetts,70,0.00963,6,0.04814,organic,https://www.a1foundationcrackrepair.com/,0,0.00000,26,0.01057,organic,https://crackx.com/natick-massachusetts/,-9,-0.00305,13,0.01644,organic,https://www.groundworks.com/service-areas/foundation-repair-dedham-ma/,87,0.01644,tracking,c,n/a,10,25
basement wall crack repair cost,31,0.00939,organic,https://www.attackacrack.com/blog/the-2026-foundation-repair-cost-guide-what-ma-amp-ct-homeowners-should-expect,69,0.00939,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,50,0.00599,organic,https://www.groundworks.com/resources/how-much-does-foundation-repair-cost/,50,0.00599,,i,n/a,10,17
basement cracks repair,35,0.00845,organic,https://www.attackacrack.com/,65,0.00845,12,0.01761,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,88,0.01761,106,0.00012,organic,https://crackx.com/repair-basement-floor-cracks/,-6,0.00012,73,0.00329,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,27,0.00329,,c,10.00,10,29
crack on the foundation,36,0.00822,organic,https://www.attackacrack.com/,64,0.00822,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,6,0.04814,site links,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,94,0.04814,,i,n/a,n/a,24
signs of pyrrhotite in foundation,38,0.00775,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,62,0.00775,-,0.00000,,,-,0.00000,36,0.00822,organic,https://crackx.com/early-warning-signs-of-foundation-damage-new-england-homeowners-should-recognize/,64,0.00822,79,0.00258,organic,https://www.groundworks.com/resources/signs-your-home-has-foundation-problem/,21,0.00258,,i,n/a,10,6
concrete bulkhead,39,0.00751,organic,https://www.attackacrack.com/leaky-bulkhead-repair,61,0.00751,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,n/a,7
crumbling foundations massachusetts map,39,0.00751,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,61,0.00751,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,8
pyrrhotite foundation ct,43,0.00681,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,57,0.00681,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,33
bulkhead concrete,46,0.00646,organic,https://www.attackacrack.com/leaky-bulkhead-repair,54,0.00646,11,0.02348,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,89,0.02348,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,0
filling cracks in foundation,46,0.00646,organic,https://www.attackacrack.com/,54,0.00646,98,0.00035,organic,https://www.a1foundationcrackrepair.com/,2,0.00035,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/resources/how-to-repair-your-damaged-foundation/,99,0.42735,,i,n/a,10,28
how to repair crack in foundation,50,0.00599,organic,https://www.attackacrack.com/,50,0.00599,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,84,0.00200,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,16,0.00200,,i,n/a,10,28
cost to replace bulkhead,51,0.00587,organic,https://www.attackacrack.com/leaky-bulkhead-repair,49,0.00587,-,0.00000,,,-,0.00000,33,0.00892,organic,https://crackx.com/bulkhead-door-installation-natick/,67,0.00892,11,0.02348,site links,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,89,0.02348,,i,n/a,10,10
replacing a bulkhead,51,0.00587,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,49,0.00587,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/guide-to-bulkhead-door-replacement/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,50,10
concrete bulkheads,52,0.00575,organic,https://www.attackacrack.com/leaky-bulkhead-repair,48,0.00575,15,0.01468,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,85,0.01468,80,0.00247,organic,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,20,0.00247,-,0.00000,,,-,0.00000,,i,n/a,n/a,15
bulkhead sealing,53,0.00564,organic,https://www.attackacrack.com/leaky-bulkhead-repair,47,0.00564,62,0.00458,organic,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,38,0.00458,13,0.01644,ai overview,https://crackx.com/how-to-seal-a-basement-bulkhead-door/,87,0.01644,87,0.00164,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,13,0.00164,,c,n/a,n/a,14
crack in concrete foundation,54,0.00552,organic,https://www.attackacrack.com/,46,0.00552,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,9,0.03522,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,91,0.03522,,i,n/a,10,29
bulkhead doors basement,57,0.00517,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,43,0.00517,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,99,0.42735,29,0.00986,organic,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,71,0.00986,,i|c,n/a,n/a,30
pyrrhotite foundation,60,0.00481,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,40,0.00481,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,20,23
carbon fiber foundation repair cost,61,0.00470,organic,https://www.attackacrack.com/carbon-fiber-stitches,39,0.00470,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,0
basement bulkhead replacement,64,0.00434,organic,https://www.attackacrack.com/leaky-bulkhead-repair,36,0.00434,-,0.00000,,,-,0.00000,22,0.01151,organic,https://crackx.com/bulkhead-door-installation-natick/,78,0.01151,-,0.00000,,,-,0.00000,,c,n/a,10,41
replace bulkhead basement doors,65,0.00423,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,35,0.00423,-,0.00000,,,-,0.00000,8,0.04109,organic,https://crackx.com/bulkhead-door-installation-natick/,92,0.04109,-,0.00000,,,-,0.00000,,c,n/a,10,25
foundation crack repair llc,68,0.00387,organic,https://www.attackacrack.com/,32,0.00387,19,0.01291,organic,https://www.a1foundationcrackrepair.com/,81,0.01291,27,0.01033,organic,https://crackx.com/natick-massachusetts/,73,0.01033,42,0.00693,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,58,0.00693,,c,n/a,10,16
pyrrhotite concrete,68,0.00387,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,32,0.00387,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,30,29
free foundation inspection,71,0.00352,organic,https://www.attackacrack.com/free-foundation-consultations,29,0.00352,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,23,0.01127,organic,https://www.groundworks.com/service-areas/foundation-repair-newton-center-ma/,77,0.01127,,c,n/a,10,10
replacing bulkhead,74,0.00317,organic,https://www.attackacrack.com/blog/why-your-bulkhead-door-might-be-leaking-and-how-to-fix-it-for-good,26,0.00317,-,0.00000,,,-,0.00000,12,0.01761,ai overview,https://crackx.com/guide-to-bulkhead-door-replacement/,88,0.01761,-,0.00000,,,-,0.00000,,c,n/a,n/a,16
crumbling foundation map,88,0.00153,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,12,0.00153,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,9
concrete pyrrhotite,97,0.00047,organic,https://www.attackacrack.com/blog/crumbling-foundations-in-massachusetts-and-connecticut,3,0.00047,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,30,29
basement bulkhead construction,-,0.00000,,,-,0.00000,15,0.01468,reviews,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,85,0.01468,3,0.11153,organic,https://crackx.com/bulkhead-door-installation-natick/,97,0.11153,-,0.00000,,,-,0.00000,,i,n/a,n/a,21
basement bulkhead door replacement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,11,0.02348,organic,https://crackx.com/bulkhead-door-installation-natick/,89,0.02348,-,0.00000,,,-,0.00000,,i,n/a,10,27
basement bulkhead doors,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,14,0.01526,organic,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,86,0.01526,,i,3.87,20,17
basement foundation repair,-,0.00000,,,-,0.00000,19,0.01291,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,81,0.01291,44,0.00669,organic,https://crackx.com/natick-massachusetts/,56,0.00669,23,0.01127,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,77,0.01127,,c,40.83,10,26
basement foundation repair near me,-,0.00000,,,-,0.00000,29,0.00986,organic,https://www.a1foundationcrackrepair.com/,71,0.00986,41,0.00704,organic,https://crackx.com/natick-massachusetts/,59,0.00704,6,0.04814,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,94,0.04814,tracking,t,n/a,10,47
basement foundation repairs,-,0.00000,,,-,0.00000,21,0.01174,reviews,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,79,0.01174,-,0.00000,,,-,0.00000,7,0.04461,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,93,0.04461,,c,40.83,10,25
basement leak repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,22,0.01151,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,78,0.01151,tracking,i,n/a,10,26
basement leak repair near me,-,0.00000,,,-,0.00000,38,0.00775,organic,https://www.a1foundationcrackrepair.com/,62,0.00775,44,0.00669,organic,https://crackx.com/natick-massachusetts/,56,0.00669,4,0.09275,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,96,0.09275,,t,n/a,10,31
basement repair near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,5,0.07162,organic,https://www.groundworks.com/service-areas/massachusetts/boston-ma/,95,0.07162,,t,n/a,10,39
basement sealing near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,6,0.04814,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,94,0.04814,tracking,t,18.37,90,30
basement sump pump,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,24,0.01104,organic,https://www.groundworks.com/resources/what-is-basement-sump-pump/,76,0.01104,,i,6.59,90,48
basement wall crack injection,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,67,0.00399,organic,https://crackx.com/maine/,33,0.00399,89,0.00141,organic,https://www.groundworks.com/,11,0.00141,,i|c,n/a,10,28
basement wall cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,75,0.00305,organic,https://crackx.com/what-happens-if-you-dont-repair-basement-wall-cracks-right-away/,25,0.00305,60,0.00481,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,40,0.00481,,i,n/a,n/a,20
basement wall repair near me,-,0.00000,,,-,0.00000,29,0.00986,organic,https://www.a1foundationcrackrepair.com/,71,0.00986,34,0.00869,organic,https://crackx.com/natick-massachusetts/,66,0.00869,7,0.04461,organic,https://www.groundworks.com/service-areas/boston-ma-foundation-repair/,93,0.04461,,t,n/a,10,8
basement waterproofing boston ma,-,0.00000,,,-,0.00000,39,0.00751,organic,https://www.a1foundationcrackrepair.com/,61,0.00751,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,99,0.42735,,c,12.46,110,48
basement waterproofing near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,6,0.04814,organic,https://www.groundworks.com/service-areas/boston-ma-basement-waterproofing/,94,0.04814,,t,18.37,90,38
bilco door,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i|t,n/a,40,36
bilco doors,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i|t,n/a,n/a,13
building cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,81,0.00235,organic,https://crackx.com/identifying-structural-cracks/,19,0.00235,82,0.00223,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,18,0.00223,,i,n/a,10,18
bulkhead basement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/merrimack-valley-massachusetts/bilco-basement-bulkhead-doors-installation/,99,0.42735,-,0.00000,,,-,0.00000,tracking,i,n/a,50,35
bulkhead door replacement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,2,0.14675,organic,https://crackx.com/bulkhead-door-installation-natick/,98,0.14675,-,0.00000,,,-,0.00000,,c,3.59,20,36
bulkhead installation cost,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,15,0.01468,organic,https://crackx.com/bulkhead-door-installation-natick/,85,0.01468,-,0.00000,,,-,0.00000,,i,n/a,10,13
bulkhead maintenance,-,0.00000,,,-,0.00000,8,0.04109,reviews,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,92,0.04109,56,0.00528,organic,https://crackx.com/repair-a-leaking-bulkhead/,44,0.00528,15,0.01468,organic,https://www.groundworks.com/solutions/residential-seawall-and-bulkhead-repair/,85,0.01468,,i,n/a,n/a,16
bulkhead repair cost,-,0.00000,,,-66,-0.00869,-,0.00000,,,-90,-0.02583,-,0.00000,,,-33,-0.00399,43,0.00681,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,57,0.00681,tracking,i,n/a,10,11
bulkhead repair near me,-,0.00000,,,-81,-0.01291,10,0.02583,reviews,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,-4,-0.02231,39,0.00751,organic,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-chelmsford/,-30,-0.02771,37,0.00798,organic,https://www.groundworks.com/locations/groundworks-boston/,63,0.00798,tracking,t,n/a,10,4
bulkhead repairs,-,0.00000,,,-,0.00000,10,0.02583,reviews,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,90,0.02583,59,0.00493,organic,https://crackx.com/repair-a-leaking-bulkhead/,41,0.00493,-,0.00000,,,-,0.00000,,c,n/a,10,8
bulkhead replacement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,13,0.01644,organic,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-chelmsford/,87,0.01644,19,0.01291,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,81,0.01291,,c,n/a,50,42
bulkhead replacement cost,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,18,0.01327,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,82,0.01327,,i,n/a,10,30
bulkhead waterproofing,-,0.00000,,,-73,-0.01033,2,0.14675,reviews,https://www.a1foundationcrackrepair.com/bulkhead-waterproofing,1,0.03522,1,0.42735,ai overview,https://crackx.com/a-step-by-step-guide-to-bulkhead-waterproofing/,1,0.28060,64,0.00434,organic,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,36,0.00434,tracking,i,n/a,10,8
causes of cracks in walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,60,0.00481,organic,https://www.groundworks.com/resources/horizontal-versus-vertical-foundation-cracks-new-england/,40,0.00481,,i,n/a,n/a,15
cellar bulkhead doors,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,c,3.87,20,26
cellar bulkhead replacement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,15,0.01468,organic,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-north-andover/,85,0.01468,19,0.01291,organic,https://www.groundworks.com/resources/bulkhead-and-cellar-door-replacement-in-northeast-new-england/,81,0.01291,,c,n/a,10,40
cellar door replacement,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,43,0.00681,organic,https://crackx.com/merrimack-valley-massachusetts/bulkhead-door-replacement-concord/,57,0.00681,-,0.00000,,,-,0.00000,,c,n/a,10,24
cement stair repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,11,0.02348,ai overview,https://www.groundworks.com/resources/how-to-fix-sinking-concrete-steps/,89,0.02348,tracking,c,9.50,10,27
concrete crack filler,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,84,0.00200,organic,https://www.groundworks.com/,16,0.00200,,i,3.76,30,27
concrete crack repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,112,0.00012,organic,https://www.groundworks.com/,-12,0.00012,,i,2.21,30,33
concrete cracked,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,23
concrete epoxy repair contractors near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,52,0.00575,organic,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,48,0.00575,-,0.00000,,,-,0.00000,,t,n/a,10,2
concrete foundation contractor near me,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,25,0.01080,organic,https://www.groundworks.com/locations/groundworks-boston/,75,0.01080,,t,n/a,10,34
concrete pipe sealant,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,17
concrete step repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,9.50,10,31
crack concrete repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,n/a,19
crack in basement wall,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,71,0.00352,organic,https://www.groundworks.com/resources/horizontal-versus-vertical-foundation-cracks-new-england/,29,0.00352,,i,n/a,n/a,14
crack injection concrete,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i|t,n/a,10,19
cracked foundation,-,0.00000,,,-,0.00000,12,0.01761,organic,https://www.a1foundationcrackrepair.com/,88,0.01761,-,0.00000,,,-,0.00000,11,0.02348,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,89,0.02348,,i,9.53,30,18
cracks in basement floor,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/basement-floor-cracks/,99,0.42735,-,0.00000,,,-,0.00000,tracking,i,n/a,10,22
cracks in walls,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,80,0.00247,organic,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,20,0.00247,66,0.00411,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,34,0.00411,,i,6.86,20,20
cracks in walls when to worry,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,1,0.42735,ai overview,https://crackx.com/how-to-know-if-a-crack-in-your-wall-is-serious/,99,0.42735,-,0.00000,,,-,0.00000,,i,n/a,10,32
crawl space repair,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,12,0.01761,organic,https://www.groundworks.com/service-areas/crawl-space-repair-revere-ma/,88,0.01761,,i,n/a,10,30
define pyrrhotite,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,35
epoxy injection foundation,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,74,0.00317,organic,https://www.groundworks.com/resources/diy-crack-repair-vs-professional/,26,0.00317,,i,n/a,10,12
fix basement leak,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,23,0.01127,organic,https://www.groundworks.com/resources/preventing-repairing-basement-leaks/,77,0.01127,,i,n/a,10,20
fix cracks in foundation,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,17,0.01362,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,83,0.01362,,i,n/a,n/a,25
fix foundation cracks,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,60,0.00481,organic,https://crackx.com/fix-cracks-in-a-foundation-wall/,40,0.00481,12,0.01761,organic,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,88,0.01761,,i,n/a,n/a,28
fixing a foundation crack from the outside,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,32,0.00916,organic,https://www.groundworks.com/resources/repairing-concrete-foundation-wall-cracks-the-right-way/,68,0.00916,,i,n/a,10,23
foundation check,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,108,0.00012,organic,https://www.groundworks.com/resources/foundation-inspection-benefits/,-8,0.00012,,i,n/a,10,43
foundation crack filler,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,i,n/a,10,27
foundation crack sealant,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,tracking,c,n/a,10,14
foundation cracks that are normal,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,111,0.00012,organic,https://crackx.com/types-of-foundation-cracks/,-11,0.00012,1,0.42735,ai overview,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,99,0.42735,,i,n/a,10,24
foundation cracks when to worry,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,2,0.14675,site links,https://www.groundworks.com/resources/foundation-cracks-when-to-take-action/,98,0.14675,,i,n/a,10,5
foundation leak repair,-,0.00000,,,-,0.00000,23,0.01127,organic,https://www.a1foundationcrackrepair.com/,77,0.01127,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,,c,n/a,10,34
foundation leak repair near me,-,0.00000,,,-,0.00000,16,0.01409,organic,https://www.a1foundationcrackrepair.com/,84,0.01409,20,0.01233,organic,https://crackx.com/natick-massachusetts/,80,0.01233,4,0.09275,ai overview,https://www.groundworks.com/service-areas/foundation-repair-greensboro-nc/,96,0.09275,tracking,t,n/a,10,21
foundation leaking,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,-,0.00000,,,-,0.00000,65,0.00423,organic,https://www.groundworks.com/resources/how-long-before-water-will-damage-foundation/,35,0.00423,,i,n/a,10,20
