Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
basement authority,1,1,480,33,11.11,https://www.groundworks.com/locations/groundworks-charleston/groundworks-charleston-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bawv,39,0.04,433.00,0.89,30700000,"[35,66,81,81,100,100,81,100,66,66,44,44]",2026-02-04,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Local pack
the most humid cities in the us,2,2,480,37,0.00,https://www.groundworks.com/resources/most-humid-cities-in-the-us/,39,0.04,0.00,0.01,34300000,"[4,8,5,5,3,25,52,100,4,37,25,25]",2026-01-14,"Sitelinks, Video, People also ask, Related searches, AI overview",informational,Organic
concrete footings,1,1,3600,28,3.36,https://www.groundworks.com/glossary/concrete-footing/,39,0.04,131.00,0.27,4600000,"[23,35,44,29,44,35,54,54,35,66,44,44]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","commercial, informational",People also ask
foundation level,1,1,480,4,14.93,https://www.groundworks.com/resources/foundation-leveling-vs-repair/,39,0.04,582.00,0.6,1620000000,"[59,59,32,88,59,72,32,48,48,39,7,9]",2026-02-19,"Image pack, Video, People also ask, Related searches, AI overview",informational,Organic
crawlspace repairs,3,3,1600,19,18.16,https://www.groundworks.com/solutions/crawl-space-repair/,38,0.04,690.00,0.3,4510000,"[2,3,4,5,3,8,100,66,53,35,24,53]",2026-02-02,"Local pack, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sinking foundation,6,6,5400,15,1.91,https://www.groundworks.com/resources/how-much-is-too-much-foundation-sinking/,37,0.04,70.00,0.04,147,"[54,10,10,81,81,81,81,81,16,100,19,100]",2026-03-05,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
pier and beam foundation repair,4,4,5400,21,13.70,https://www.groundworks.com/resources/what-is-a-pier-and-beam-foundation-problem-signs-and-repair-solutions/,37,0.04,506.00,0.66,1720000,"[8,10,12,16,19,36,36,66,100,81,66,12]",2026-03-04,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation repair contractor,4,4,2900,41,20.24,https://www.groundworks.com/,37,0.04,748.00,0.06,29900000,"[53,18,44,53,66,53,44,81,100,53,81,35]",2026-03-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
basement vent covers,1,1,880,27,0.69,https://www.groundworks.com/resources/should-you-close-your-basement-vents-during-the-summer/,36,0.04,24.00,1,6920000,"[10,8,13,20,20,20,36,66,20,5,36,13]",2026-01-21,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches",transactional,People also ask
water in basement,10,10,12100,26,25.69,https://www.groundworks.com/resources/what-causes-water-in-basement/,36,0.04,924.00,0.79,0,"[44,66,66,54,81,81,81,100,100,81,24,66]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
biggest dam in the us,3,3,1000,27,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,35,0.04,1.00,0.02,280000000,"[79,79,24,54,36,36,54,36,41,30,54,24]",2026-01-26,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation underpinning repair,2,2,1000,9,0.00,https://www.groundworks.com/resources/residential-foundation-underpinning-repair/,35,0.04,0.00,0,2760000,"[0,7,10,16,13,13,13,29,100,81,5,29]",2026-03-01,"Local pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
bulkhead basement,1,1,590,32,1.30,https://www.groundworks.com/resources/northeast-new-england-bilco-bulkhead-doors/,35,0.04,45.00,0.91,1410000,"[10,30,45,24,36,36,36,45,55,67,55,55]",2026-01-10,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,AI overview
snowiest places in the us,9,9,1600,47,0.15,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,35,0.04,5.00,0.01,865000,"[81,24,100,66,16,3,7,35,29,4,8,24]",2026-01-22,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview",informational,Organic
foundation repair pittsburgh,1,1,260,13,29.51,https://www.groundworks.com/locations/groundworks-pittsburgh/groundworks-pittsburgh-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bkw-pit,34,0.04,1003.00,0.73,14100000,"[35,28,28,66,54,35,44,35,66,54,54,44]",2026-01-10,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
fieldstone foundation repair,1,1,260,14,11.46,https://www.groundworks.com/resources/fieldstone-foundation-repair-how-to-restore-your-stone-basement/,34,0.04,389.00,0.67,336000,"[7,15,15,15,19,23,100,36,81,15,12,10]",2026-02-21,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
what is a rim joist,1,1,1000,24,0.95,https://www.groundworks.com/glossary/rim-joists/,34,0.04,32.00,0.03,2880000,"[55,67,67,67,76,67,76,76,67,100,100,76]",2026-02-03,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,AI overview
rainiest city in the united states,1,1,260,36,0.16,https://www.groundworks.com/resources/worst-us-cities-for-rainfall/,34,0.04,5.00,0.01,0,"[23,19,19,44,36,100,44,66,0,44,23,15]",2026-02-28,"Sitelinks, Video, Related searches, Short videos, AI overview",informational,Organic
groundwork companies,1,1,260,56,6.72,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,34,0.04,228.00,0.55,31600000,"[15,36,7,36,36,12,36,12,54,15,100,19]",2026-02-20,"Local pack, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
foundation waterproofing denver,1,1,140,24,27.36,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,34,0.04,930.00,0.74,323000,"[52,82,82,100,41,100,100,82,100,100,100,100]",2026-02-28,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
expert foundation underpinning services near me,1,1,140,27,0.00,https://www.groundworks.com/locations/groundworks-fairfield/groundworks-fairfield-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,34,0.04,0.00,0,226000000,"[66,80,66,66,66,52,80,100,42,14,14]",2026-02-05,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Local pack
water table is high,1,1,260,6,0.00,https://www.groundworks.com/glossary/high-water-table/,34,0.04,0.00,0,1830000000,"[18,35,23,44,18,81,100,0,23,23,44,44]",2026-01-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know, AI overview",informational,Organic
crawl space wet rotting,1,1,140,6,0.00,https://www.groundworks.com/resources/5-signs-of-wood-rot-in-your-crawl-space-you-shouldnt-ignore/,34,0.04,0.00,0,5470000,"[4,23,80,100,66,100,100]",2026-02-10,"Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches",informational,Organic
foundation repair colorado springs,1,1,260,8,28.98,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,34,0.04,985.00,0.83,7440000,"[23,28,35,44,28,28,28,66,66,81,66,66]",2026-02-03,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
groundwork contractors,1,1,140,25,0.00,https://www.groundworks.com/locations/groundworks-colorado-springs/groundworks-colorado-springs-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-cos,34,0.04,0.00,0.06,3270000,"[34,43,34,100,100,81,65,15,15,9,6,6]",2026-01-26,"Local pack, Video, Image, People also ask, Related searches",commercial,Local pack
foundation underpinning repair,1,1,1000,9,0.00,https://www.groundworks.com/resources/residential-foundation-underpinning-repair/,34,0.04,0.00,0,2760000,"[0,7,10,16,13,13,13,29,100,81,5,29]",2026-03-01,"Local pack, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,AI overview
waterproofing pittsburgh,1,1,140,18,23.62,https://www.groundworks.com/locations/groundworks-pittsburgh/groundworks-pittsburgh-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bkw-pit,34,0.04,803.00,1,0,"[26,53,53,80,53,53,100,65,53,53,42,34]",2026-03-07,"Local pack, Video, Image, Related searches",commercial,Local pack
rod martin basement systems,1,1,140,10,11.05,https://www.groundworks.com/locations/complete-basement-systems/,34,0.04,375.00,0.52,860000,"[34,43,53,65,34,21,100,28,28,43,21,15]",2026-02-08,"Local pack, Video, Image, People also ask",informational,Organic
basement and foundation repair near me,1,1,140,19,18.55,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,34,0.04,630.00,0.84,26000000,"[28,100,53,12,12,23,43,23,35,35,28,12]",2026-01-15,"Local pack, Video, People also ask, Related searches, Ads middle",transactional,Local pack
common foundation problems,1,1,260,11,3.22,https://www.groundworks.com/resources/most-common-foundation-problems/,34,0.04,109.00,0.14,1090000000,"[54,43,54,22,43,43,54,54,81,100,66,54]",2026-01-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
drilled pier and grade beam system,1,1,1900,4,0.00,https://www.groundworks.com/resources/how-to-build-a-pier-and-beam-foundation/,33,0.03,0.00,0,90400,[100],2026-01-22,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
foundation repair companies near me,8,8,6600,44,21.32,https://www.groundworks.com/solutions/foundation-repair/,33,0.03,703.00,0.43,133000000,"[5,13,10,16,16,29,36,100,54,29,29,10]",2026-03-02,"Local pack, Video, People also ask, Related searches, AI overview",transactional,Organic
foundation underpinning near me,10,10,1000,39,0.00,https://www.groundworks.com/locations/groundworks-fairfield/groundworks-fairfield-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,33,0.03,0.00,0.3,8350000,"[0,30,36,54,54,66,66,100,36,41,36,7]",2026-02-07,"Knowledge panel, Video, Ads bottom, People also ask, Related searches, AI overview",transactional,Knowledge panel
groundworks foundation repair,1,1,2400,37,11.69,https://www.groundworks.com/,33,0.03,385.00,0.84,521000,"[24,29,35,29,35,81,100,29,81,35,29,24]",2026-03-03,"Local pack, Sitelinks, Related searches, Things to know",navigational,Organic
groundworks new haven,1,1,40,20,6.52,https://www.groundworks.com/locations/groundworks-new-haven/,32,0.03,208.00,0.5,519000,"[0,0,5,5,5,5,5,41,100,11,64,11]",2026-02-22,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches","navigational, transactional",Organic
bq basements and concrete,1,1,40,19,9.95,https://www.groundworks.com/locations/bq-basements-concrete/,32,0.03,318.00,0.66,28500,"[0,0,6,9,6,9,6,6,2,2,2,2]",2026-02-17,"Knowledge panel, Image pack, Video, Video Carousel, People also ask, Related searches","informational, transactional",Organic
groundworks manchester nh,1,1,40,14,8.93,https://www.groundworks.com/locations/groundworks-manchester/,32,0.03,285.00,0.63,15300,"[0,0,0,0,0,0,0,18,100,100,100,100]",2026-02-22,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,Organic
metro structural services tulsa,1,1,40,15,12.62,https://www.groundworks.com/locations/metro-structural/,32,0.03,403.00,0.19,108000,"[14,14,14,14,14,14,14,14,14,78,78,14]",2026-01-10,"Knowledge panel, Video, Image, Related searches","informational, transactional",Organic
ground works tulsa,1,1,40,28,24.71,https://www.groundworks.com/locations/groundworks-tulsa/groundworks-tulsa-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-tul,32,0.03,790.00,0.96,3180000,"[18,18,18,100,100,18,18,18,18,18,18,18]",2026-02-08,"Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
select waterproofing,1,1,40,18,10.56,https://www.groundworks.com/locations/select-waterproofing/,32,0.03,337.00,0.84,16700000,"[14,14,64,78,50,50,14,35,14,14,14,14]",2026-02-28,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
ground works llc,1,1,40,42,8.80,https://www.groundworks.com/,32,0.03,281.00,0.39,212000000,"[11,11,64,64,64,11,11,11,11,11,11,11]",2026-01-23,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Organic
groundworks texas,1,1,40,22,4.55,https://www.groundworks.com/service-areas/texas/,32,0.03,145.00,0.25,482000,"[11,11,11,11,64,11,11,11,64,11,64,11]",2026-02-08,"Knowledge panel, Video, Image, People also ask, Related searches",navigational,Organic
groundworks bozeman,1,1,40,16,10.79,https://www.groundworks.com/locations/groundworks-bozeman/,32,0.03,345.00,0.52,3460,"[0,18,18,18,18,100,18,18,18,100,100,18]",2026-01-25,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
groundworks commercial,1,1,40,16,6.01,https://www.groundworks.com/commercial/,32,0.03,192.00,0.26,2130000,"[36,18,27,18,18,27,18,18,27,45,100,18]",2026-01-25,"Sitelinks, Video, People also ask, Related searches, Short videos",informational,Organic
bee hive vs wasp nest,3,3,1000,23,1.88,https://www.groundworks.com/resources/what-hive-is-it/,32,0.03,60.00,0.01,1740000,"[20,16,13,30,30,54,54,79,100,79,30,30]",2026-01-24,"Image pack, Sitelinks, Video, Featured snippet, Image, People also ask, Related searches","commercial, informational",People also ask
foundation repair fort collins,1,1,40,10,25.26,https://www.groundworks.com/service-areas/fort-collins-loveland-co/,32,0.03,808.00,0.8,5540000,"[9,14,14,14,14,14,19,23,23,19,23,23]",2026-02-25,"Knowledge panel, Video, Image, People also ask, Related searches",commercial,Organic
basement crawl space,7,7,3600,25,7.46,https://www.groundworks.com/glossary/crawl-space/,32,0.03,238.00,0.25,196,"[4,4,5,8,8,12,19,81,100,100,100,100]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, AI overview",informational,Organic
drainage and groundworks,1,1,40,20,0.00,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,32,0.03,0.00,0.14,1130000,"[14,14,28,100,50,64,35,14,0,14,14,14]",2026-02-01,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",navigational,Local pack
scary basement,2,2,1000,27,0.00,https://www.groundworks.com/resources/scariest-room-in-the-home/,32,0.03,0.00,0,48900000,"[30,30,41,41,41,66,41,36,54,54,79,41]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
groundworks foundations,1,1,40,29,10.61,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,32,0.03,339.00,0.7,1630000,"[18,36,36,81,81,100,63,9,0,0,0,0]",2026-02-08,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Local pack
groundworks sump pump,1,1,40,,6.50,https://www.groundworks.com/solutions/basement-waterproofing/sump-pump/,32,0.03,208.00,0.78,112000,"[0,0,0,0,41,82,11,23,100,11,11,11]",2026-01-24,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,Organic
metro structural tulsa ok,1,1,40,17,12.62,https://www.groundworks.com/locations/metro-structural/,32,0.03,403.00,0.19,147000,"[11,11,11,11,11,11,11,11,11,64,64,11]",2026-01-10,"Knowledge panel, Video, Related searches","informational, transactional",Organic
groundworks contractors near me,1,1,40,45,0.00,https://www.groundworks.com/locations/groundworks-denver/groundworks-denver-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-dnv,32,0.03,0.00,0.18,1540000,"[11,64,17,17,41,52,52,11,5,11,11,11]",2026-01-18,"Local pack, Sitelinks, People also ask, Related searches",transactional,Local pack
foundation support specialists,1,1,480,18,17.38,https://www.groundworks.com/locations/foundation-support-specialists/,31,0.03,538.00,0.69,184000000,"[100,45,67,55,45,30,30,24,24,13,10,10]",2026-01-10,"Local pack, Video, People also ask, Related searches",commercial,Organic
crawl space repair companies,1,1,1300,20,22.22,https://www.groundworks.com/solutions/crawl-space-repair/,31,0.03,688.00,0.08,4580000,"[8,100,8,34,13,20,44,65,82,55,34,30]",2026-02-21,"Local pack, Sitelinks, People also ask, Related searches",informational,Organic
free foundation inspection,2,2,720,10,28.86,https://www.groundworks.com/resources/foundation-inspection/,31,0.03,894.00,0.36,140000000,"[100,20,76,24,24,24,36,36,76,76,76,67]",2026-01-07,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,Organic
horizontal cracks in drywall,2,2,1300,10,3.32,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,31,0.03,102.00,0.28,2520000,"[20,24,24,100,16,100,100,100,66,10,13,13]",2026-03-01,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
big dam in america,3,3,1600,28,0.04,https://www.groundworks.com/resources/biggest-dam-projects-in-us/,30,0.03,1.00,0.02,337000000,"[29,3,43,81,100,54,54,1,20,2,43,54]",2026-01-24,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
crawl under house foudation,1,1,880,17,0.00,https://www.groundworks.com/glossary/crawl-space/,30,0.03,0.00,0,18900000,"[100,0]",2026-02-28,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
structural engineer minneapolis basement foundation,5,5,880,12,0.00,https://www.groundworks.com/service-areas/minneapolis-saint-paul/,30,0.03,0.00,0,836000,"[100,0]",2026-02-28,"Local pack, Video, People also ask, Related searches, AI overview",informational,Organic
basement encapsulation near me,4,4,1600,11,19.45,https://www.groundworks.com/service-areas/crawl-space-repair-fresno-ca/,30,0.03,583.00,0.91,2280000,"[0,2,1,2,4,13,8,24,29,100,81,81]",2026-01-30,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",transactional,Organic
driveway repair,10,10,9900,28,8.17,https://www.groundworks.com/service-areas/driveway-repair-houston-tx/,29,0.03,236.00,0.56,0,"[19,19,29,44,29,54,54,66,81,66,44,36]",2026-03-06,"Local pack, Video, Video Carousel, Related searches, AI overview",commercial,Organic
beehive id,2,2,720,14,0.95,https://www.groundworks.com/resources/what-hive-is-it/,29,0.03,27.00,0.49,7390000,"[24,8,6,6,100,81,100,3,55,100,62,24]",2026-02-08,"Video, Image, People also ask, Related searches",informational,People also ask
foundation sealing,1,1,720,21,2.80,https://www.groundworks.com/glossary/sealed-foundation-walls/,29,0.03,81.00,1,441000000,"[25,25,46,16,20,31,20,31,68,68,52,46]",2026-02-12,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
caulk for concrete,1,1,720,28,0.53,https://www.groundworks.com/resources/how-to-fill-gaps-between-concrete/,29,0.03,15.00,1,15000000,"[3,7,4,7,8,7,100,16,16,10,10,7]",2026-02-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview",informational,People also ask
groundworks foundation warranty information,1,1,260,14,0.00,https://www.groundworks.com/service/,29,0.03,0.00,0,514000,"[100,0,0,0,0,0,0]",2026-01-07,"Video, People also ask, Related searches, AI overview","informational, transactional",AI overview
professional crawl space mold removal services,1,1,480,10,0.00,https://www.groundworks.com/resources/removing-crawl-space-mold/,29,0.03,0.00,0,1990000,"[14,17,48,48,7,72,100,100,59,2]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",commercial,AI overview
lallying,1,1,720,23,0.00,https://www.groundworks.com/resources/what-is-a-lally-column/,29,0.03,0.00,0,1020,"[20,11,7,2,68,68,52,5,37,100,37,52]",2026-01-26,"Video, Image, People also ask, Related searches, AI overview",informational,People also ask
crawlspace encapsulation,11,11,9900,29,14.44,https://www.groundworks.com/solutions/crawl-space-repair/crawl-space-encapsulation/,29,0.03,418.00,0.32,138,"[29,29,36,36,66,66,66,100,81,81,81,81]",2026-03-07,"Local pack, Image pack, Video, Video Carousel, Related searches, AI overview",informational,Organic
slab piers,1,1,480,3,3.87,https://www.groundworks.com/solutions/foundation-repair/slab-piers/,29,0.03,112.00,0.32,3670000,"[11,20,16,13,13,20,20,16,37,20,11,100]",2026-02-20,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
how much does it cost to repair a foundation,1,1,880,28,6.41,https://www.groundworks.com/resources/fix-foundation-issues-or-sell-your-home/,28,0.03,179.00,0.51,989000000,"[62,62,81,45,30,36,81,24,20,30,36,100]",2026-01-06,"Sitelinks, Video, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
downspouts,1,1,5400,17,2.29,https://www.groundworks.com/resources/why-invest-in-underground-downspouts/,28,0.03,64.00,0.68,0,"[36,29,44,36,44,81,81,44,44,54,36,29]",2026-03-07,"Image pack, Sitelinks, Video, Image, Popular products, Related searches, Short videos, AI overview","commercial, informational",AI overview
snowiest town in ny state,1,1,1300,17,0.00,https://www.groundworks.com/resources/top-10-snowiest-cities-in-the-us-how-heavy-snowfall-can-impact-your-home/,28,0.03,0.00,0,45400,"[100,0]",2026-01-23,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
concrete repair companies,1,1,1300,41,7.16,https://www.groundworks.com/resources/diy-vs-professional-concrete-crack-repair/,28,0.03,200.00,0.42,53600000,"[13,20,13,27,36,44,36,100,80,36,36,16]",2026-02-17,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,People also ask
fixing house foundation,1,1,880,19,18.84,https://www.groundworks.com/resources/easy-steps-to-repair-house-foundation/,28,0.03,527.00,0.74,354000000,"[4,16,16,29,29,29,20,20,16,5,22,16]",2026-01-05,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
lally columns,1,1,1300,23,0.55,https://www.groundworks.com/resources/what-is-a-lally-column/,28,0.03,15.00,0.75,406000,"[36,100,20,52,27,20,20,36,27,44,36,52]",2026-02-25,"Image pack, Sitelinks, Video, Image, People also ask, Popular products, Related searches, Things to know, AI overview",informational,People also ask
pier and beam crawl space,2,2,2400,5,5.21,https://www.groundworks.com/resources/pier-and-beam-vs-crawl-space-foundation/,28,0.03,145.00,0.26,183,"[1,0,1,0,1,0,0,8,100,100,100,100]",2026-03-04,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
horizontal crack in basement wall,1,1,2400,4,4.50,https://www.groundworks.com/resources/horizontal-cracks-in-drywall-and-foundation-walls-when-to-worry/,28,0.03,126.00,0.4,3730000,"[1,2,2,19,19,24,19,19,81,100,100,66]",2026-03-02,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,Things to know
innovative basement authority,1,1,1600,33,7.41,https://www.groundworks.com/locations/groundworks-rush-city/groundworks-duluth-sat/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-dlh,28,0.03,207.00,0.44,2660000,"[41,54,41,66,79,20,66,79,100,79,54,41]",2026-01-27,"Knowledge panel, Local pack, Sitelinks, Video, People also ask, Related searches",navigational,Local pack
what is a concrete footer,1,1,210,0,0.00,https://www.groundworks.com/glossary/concrete-footing/,27,0.03,0.00,0.02,170,"[43,43,66,66,35,35,66,53,43,82,43,35]",2026-03-06,"Image pack, Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
home foundation repair services,1,1,210,38,9.29,https://www.groundworks.com/locations/groundworks-houston/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-hou,27,0.03,250.00,0.56,146000000,"[6,22,22,54,35,22,29,100,100,54,18,22]",2026-02-08,"Local pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",commercial,Local pack
who owns groundworks,1,1,140,17,7.00,https://www.groundworks.com/careers/ownership/,27,0.03,189.00,0.07,232000,"[42,42,42,53,65,53,65,65,100,80,53,53]",2026-01-05,"Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
can mold in basement affect upstairs,1,1,210,1,3.39,https://www.groundworks.com/resources/can-mold-in-basement-affect-upstairs/,27,0.03,91.00,0.11,466000,"[21,14,21,17,26,32,17,48,21,21,14,14]",2026-02-14,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
rod martin's complete basement,1,1,110,3,11.51,https://www.groundworks.com/locations/complete-basement-systems/,27,0.03,310.00,0.57,2040000,"[6,0,6,0,0,6,100,100,43,34,43,53]",2026-01-14,"Video, Ads bottom",informational,Organic
greg green groungworks,2,2,210,6,0.00,https://www.groundworks.com/locations/groundworks-riverside/meet-the-team/,27,0.03,0.00,0,112000,"[100,0,0,0,0,0,0,0,0]",2026-02-18,"Image pack, Video",informational,Organic
pier and beam construction,1,1,110,9,3.93,https://www.groundworks.com/resources/how-to-build-a-pier-and-beam-foundation/,27,0.03,106.00,0.17,7520000,"[52,64,41,52,41,41,64,100,100,100,82,82]",2026-02-06,"Image pack, Sitelinks, Video, Featured snippet, Video Carousel, People also ask, Related searches, Discussions and forums",informational,Organic
concrete piers,1,1,2900,14,3.20,https://www.groundworks.com/resources/5-things-to-know-about-foundation-piers/,27,0.03,86.00,0.34,9960000,"[66,66,80,100,80,80,66,100,100,52,66,66]",2026-03-05,"Image pack, Video, Video Carousel, People also ask, Popular products, Related searches, See results about, Things to know, AI overview","commercial, informational",People also ask
foundation repair st paul,1,1,110,6,44.30,https://www.groundworks.com/locations/groundworks-minneapolis/groundworks-minneapolis-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_iba-msp,27,0.03,1196.00,0.5,58200000,"[66,33,14,33,42,33,42,80,100,66,80,52]",2026-01-17,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,Local pack
basement gutter,1,1,110,22,4.18,https://www.groundworks.com/solutions/basement-waterproofing/interior-drainage/,27,0.03,112.00,0.7,10900000,"[34,34,34,53,65,53,42,26,65,42,42,26]",2026-02-26,"Image pack, Sitelinks, Video, People also ask, Popular products, Related searches",informational,Organic
foundation waterproofing pittsburgh pa,1,1,110,48,19.81,https://www.groundworks.com/locations/groundworks-pittsburgh/groundworks-pittsburgh-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_bkw-pit,27,0.03,534.00,0.71,110000,"[43,34,34,12,34,100,43,34,53,21,21,28]",2026-02-26,"Local pack, Sitelinks, Video, Image, Related searches",commercial,Local pack
basement services near me,1,1,110,30,22.61,https://www.groundworks.com/locations/groundworks-livonia/groundworks-livonia-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_fsm-liv,27,0.03,610.00,0.54,131000000,"[19,26,19,26,34,26,34,100,80,53,53,53]",2026-03-02,"Local pack, People also ask, Related searches",transactional,Local pack
basement underpinning contractors,1,1,110,3,0.00,https://www.groundworks.com/locations/groundworks-fairfield/groundworks-fairfield-branch/?utm_source=google&utm_medium=organic&utm_campaign=gmb_gw-ccr,27,0.03,0.00,0.08,204000,"[0,7,42,42,42,42,42,65,42,53,53,42]",2026-02-07,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Local pack
slab leak repair,13,13,18100,33,19.34,https://www.groundworks.com/resources/how-to-fix-pipe-under-slab/,27,0.03,522.00,0.33,6250000,"[10,13,20,16,24,29,81,81,100,54,44,36]",2026-03-07,"Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
