Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
foundation repair commercial,79,79,210,5,34.01,https://www.a1foundationcrackrepair.com/commercial-concrete-waterproofing,0,0,0.00,0.12,75700000,"[43,53,21,15,81,100,100,81,81,100,53,34]",2026-03-03,"Local pack, Video, Video Carousel, Related searches",transactional,Organic
foundation crack repair north massapequa,64,64,50,1,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,33200,"[42,100,100]",2026-02-08,"Local pack, Image, People also ask, Related searches",commercial,Organic
easy seal direct inject,5,5,70,9,0.91,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,2130000,"[7,7,7,7,7,42,53,53,42,19,19,26]",2026-02-24,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview","informational, transactional",People also ask
how to fix a leaky basement wall,48,48,90,8,2.79,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.58,4500000,"[18,18,8,10,6,6,29,54,22,10,22,22]",2026-01-29,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
foundation crack repair contractors,12,12,260,15,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.04,3840000,"[3,6,11,23,28,28,81,66,100,54,44,44]",2026-02-03,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
foundation crack repair contractors,88,88,260,15,0.00,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.04,3840000,"[3,6,11,23,28,28,81,66,100,54,44,44]",2026-02-03,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
basement waterproofing pepperell,78,78,40,2,0.00,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0,18200,"[0,36,27,100,81,36,9,9]",2026-03-02,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
basement foundation repair and waterproofing,69,69,170,35,21.22,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.27,4440000,"[80,65,53,65,65,65,80,100,65,65,42,34]",2026-01-26,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Things to know",informational,Organic
concrete foundation repairs,55,55,110,7,11.90,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.52,21600000,"[2,10,100,8,18,10,8,35,35,18,4,4]",2026-01-29,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos",commercial,Organic
concrete foundation repairs,89,89,110,7,11.90,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.52,21600000,"[2,10,100,8,18,10,8,35,35,18,4,4]",2026-01-29,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos",commercial,Organic
basement leaking when it rains,44,44,30,14,14.92,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.74,2260000,"[45,63,18,18,18,18,27,36,36,27,9,9]",2026-01-30,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
floor foundation repair,50,50,210,22,17.26,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.95,112000000,"[3,5,6,6,8,5,6,20,100,13,1,2]",2026-01-20,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
foundation crack repair specialist,15,15,140,36,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.05,1340000,"[7,7,53,65,53,65,65,65,100,100,53,11]",2026-01-05,"Local pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
foundation crack repair specialist,35,35,140,36,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.05,1340000,"[7,7,53,65,53,65,65,65,100,100,53,11]",2026-01-05,"Local pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
fixing basement water leaks,73,73,140,17,19.37,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.64,5850000,"[52,4,100,100,66,66,52,80,66,33,80,42]",2026-01-20,"Local pack, Sitelinks, Video, Featured snippet, Image, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
foundation crack repair salisbury,82,82,40,6,0.00,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0,279000,"[80,100,80]",2026-01-24,"Local pack, Video, People also ask, Related searches",commercial,Organic
will flex seal work on concrete,38,38,110,19,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/does-flexseal-work-on-basement-water-problems-nashua-nh,0,0,0.00,0.64,8340000,"[33,33,52,42,66,100,80,80,66,52,52,42]",2026-01-21,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation waterproofing ct,10,10,90,47,10.24,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.82,853000,"[22,35,10,14,14,29,14,14,18,14,18,10]",2026-02-19,"Local pack, Video, Image, Ads bottom, Video Carousel, Related searches",commercial,Organic
cracked floor,63,63,480,21,7.85,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.05,239000000,"[55,24,45,24,45,30,20,55,45,45,20,55]",2026-02-18,"Image pack, Sitelinks, Video, Related searches, AI overview",informational,Organic
basement wall crack repair near me,22,22,170,34,13.67,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.32,8540000,"[19,80,80,34,65,65,65,65,100,80,65,26]",2026-01-13,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",transactional,Organic
basement wall crack leaking water,33,33,70,,9.81,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.71,2970000,"[4,4,4,4,4,29,100,4,4,4,4,4]",2026-02-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
basement wall crack leaking water,48,48,70,,9.81,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-find-a-basement-leak-behind-a-finished-wall-ma-ri-nh-ct,0,0,0.00,0.71,2970000,"[4,4,4,4,4,29,100,4,4,4,4,4]",2026-02-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cellar bulkhead doors,4,4,390,30,1.14,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.72,289000,"[26,26,59,26,88,39,21,9,100,39,14,17]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches",commercial,People also ask
fleax seal,1,1,170,37,0.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,199,"[0,0,0,11,0,0,0,0,100,0,0,0]",2026-03-04,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","informational, navigational",Things to know
fleax seal,1,1,170,37,0.29,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,199,"[0,0,0,11,0,0,0,0,100,0,0,0]",2026-03-04,"Knowledge panel, Sitelinks, Video, Video Carousel, People also ask, Popular products, Related searches, Things to know, AI overview","informational, navigational",People also ask
wci basement repair,37,37,70,24,10.89,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0.31,20700,"[14,50,35,35,50,50,50,100,78,78,50,14]",2026-01-31,"Knowledge panel, Sitelinks, Video, Related searches",navigational,Organic
bulkhead door repair,1,1,40,1,5.44,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0.68,2730000,"[100,18,18,18,18,18,18,18,45,45,36,36]",2026-01-06,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",transactional,People also ask
cost to fix leaking basement,15,15,140,14,12.73,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.67,6950000,"[26,80,42,65,65,100,100,65,42,19,26,26]",2026-01-31,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
cost to fix leaking basement,27,27,140,14,12.73,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.67,6950000,"[26,80,42,65,65,100,100,65,42,19,26,26]",2026-01-31,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
crack floor,62,62,70,27,5.19,https://www.a1foundationcrackrepair.com/concrete-floor-cracks,0,0,0.00,0.04,243000000,"[19,80,4,23,23,23,14,14,100,14,19,14]",2026-01-06,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
block wall crack repair,32,32,390,20,1.95,https://www.a1foundationcrackrepair.com/block-foundation-crack-repair,0,0,0.00,0.93,32100000,"[6,8,8,8,76,100,8,24,76,6,6,6]",2026-01-26,"Image pack, Sitelinks, Video, Image, Ads bottom, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
filling cracks in foundation,81,81,110,20,2.82,https://www.a1foundationcrackrepair.com/,0,0,0.00,1,27000000,"[2,17,12,12,28,17,17,43,35,35,43,43]",2026-01-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
will homeowners insurance cover cracked foundation,80,80,110,36,2.62,http://a1foundationcrackrepair.com/homeowners-insurance-faqs,0,0,0.00,0.15,7270000,"[52,52,52,23,52,82,82,52,41,64,82,64]",2026-01-26,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, AI overview","commercial, informational",Organic
leak stopping spray,3,3,110,22,0.41,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,28100000,"[0,0,43,21,34,100,100,0,0,0,0,81]",2026-02-11,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums","informational, transactional",People also ask
repair basement walls,56,56,50,14,10.87,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,0,0,0.00,0.69,60400000,"[22,14,8,10,14,10,10,18,14,8,6,6]",2026-02-23,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
fieldstone foundation repair near me,23,23,50,0,16.40,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0.77,394000,"[7,7,7,7,11,53,26,65,42,7,7,7]",2026-02-05,"Local pack, Video, Image, People also ask, Related searches, AI overview",transactional,Organic
fieldstone foundation repair near me,68,68,50,0,16.40,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.77,394000,"[7,7,7,7,11,53,26,65,42,7,7,7]",2026-02-05,"Local pack, Video, Image, People also ask, Related searches, AI overview",transactional,Organic
fieldstone foundation repair near me,72,72,50,0,16.40,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.77,394000,"[7,7,7,7,11,53,26,65,42,7,7,7]",2026-02-05,"Local pack, Video, Image, People also ask, Related searches, AI overview",transactional,Organic
diy basement bulkhead door,43,43,70,13,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/sealing-your-basement-bulkhead-dont-do-it-yourself-boston-ma,0,0,0.00,0.32,79100,"[18,18,18,18,18,100,100,100,100,100,81,63]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Discussions and forums, AI overview",informational,Organic
companies that fix basement leaks,89,89,50,24,19.02,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.57,3090000,"[7,7,7,7,7,42,42,42,19,11,7,7]",2026-02-07,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
basement floor cracking,47,47,480,9,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,24200000,"[2,7,2,11,8,16,8,8,37,46,100,52]",2026-03-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
basement floor cracking,76,76,480,9,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,24200000,"[2,7,2,11,8,16,8,8,37,46,100,52]",2026-03-06,"Image pack, Sitelinks, Video, Image, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
basement wall crack repair cost,78,78,140,1,8.25,https://www.a1foundationcrackrepair.com/concrete-wall-cracks,0,0,0.00,0.55,5250000,"[53,53,28,21,34,28,53,65,81,43,43,65]",2026-01-28,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
crack x natick,77,77,210,10,7.54,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
crack x natick,98,98,210,10,7.54,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.49,59000,"[16,10,20,8,10,45,16,13,8,10,36,3]",2026-03-01,"Knowledge panel, Sitelinks, Video, Related searches","informational, transactional",Organic
foundation crack repair portsmouth,81,81,40,4,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,440000,"[60,100,100]",2026-02-21,"Local pack, Video, Related searches, AI overview",commercial,Organic
termite damage basement,53,53,40,6,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/what-do-foundation-cracks-and-termites-have-in-common,0,0,0.00,0.08,845000,"[18,18,0,0,0,27,100,18,100,100,0,18]",2026-01-25,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation crack repair riverhead,68,68,70,7,0.00,https://www.a1foundationcrackrepair.com/,0,0,0.00,0,90400,"[27,100,81,81,45,45,63]",2026-02-02,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation repair basement,54,54,70,32,18.41,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.47,16200000,"[0,1,1,1,1,1,1,2,4,100,1,1]",2026-01-23,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
foundation repair basement,77,77,70,32,18.41,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.47,16200000,"[0,1,1,1,1,1,1,2,4,100,1,1]",2026-01-23,"Local pack, Sitelinks, Video, Video Carousel, People also ask, Related searches",informational,Organic
block foundation cracks,47,47,90,2,5.79,https://www.a1foundationcrackrepair.com/block-foundation-crack-repair,0,0,0.00,0.31,249,"[23,33,33,23,33,42,42,100,66,42,33,33]",2026-03-04,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
amc911 crawl space & foundation repair,84,84,110,31,8.30,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.08,2130,"[50,78,78,78,78,78,100,100,100,100,78,100]",2026-01-05,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",navigational,Organic
flexseal waterproofing,1,1,110,46,0.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,987000,"[0,0,0,17,28,82,100,0,0,0,0,66]",2026-02-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos, AI overview","informational, transactional",People also ask
concrete foundation repair hampton,22,22,40,4,0.00,https://www.a1foundationcrackrepair.com/new-hampshire,0,0,0.00,0,920000,"[40,100,80]",2026-02-18,"Local pack, Video, People also ask, Related searches",commercial,Organic
foundation crack repair massapequa park,73,73,70,7,0.00,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0,53400,"[0,100,33,33,23,33,42]",2026-02-15,"Local pack, Video, People also ask, Related searches, AI overview",commercial,Organic
pinhole in wall,18,18,170,27,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/i-have-a-small-pinhole-leak-in-my-foundation-wall-boston,0,0,0.00,0,4760000,"[34,28,21,12,34,100,100,43,43,81,65,81]",2026-01-29,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
pinhole in wall,89,89,170,27,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/i-have-a-small-pinhole-leak-in-my-foundation-wall-boston,0,0,0.00,0,4760000,"[34,28,21,12,34,100,100,43,43,81,65,81]",2026-01-29,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
lally column contractor near me,8,8,70,7,0.00,https://www.a1foundationcrackrepair.com/lally-column-replacement,0,0,0.00,0,52100,"[7,11,0,0,0,0,42,65,34,100]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",transactional,Organic
lally column contractor near me,58,58,70,7,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/when-is-it-time-to-replace-my-lally-column,0,0,0.00,0,52100,"[7,11,0,0,0,0,42,65,34,100]",2026-01-11,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",transactional,Organic
sump pumps repair clinton,59,59,50,0,0.00,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0,402000,"[9,100,100,45,27,45]",2026-02-27,"Local pack, Sitelinks, People also ask",commercial,Organic
how to fix basement leaks,58,58,110,9,4.13,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-to-fix-leaking-basement-walls,0,0,0.00,0.62,12800000,"[19,19,53,53,100,42,53,53,34,19,19,15]",2026-02-11,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
leaks in the basement,43,43,70,17,18.92,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do_you_have_water_leaks_in_your_basement_do_you_know_the_damage_they_can_cause,0,0,0.00,0.65,15700000,"[11,11,23,100,0,8,0,1,0,0,0,0]",2026-02-01,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
basement window leaking how to fix,54,54,30,3,3.99,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/how-do-i-fix-a-leak-around-my-basement-window,0,0,0.00,0.77,5790000,"[40,40,40,40,60,100,60,60,80,40,40,40]",2026-02-07,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
cracks in basement floors,48,48,110,10,4.50,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-needed-and-wanted-to-know-about-basement-floor-cracks,0,0,0.00,0.07,9970000,"[65,3,6,9,9,21,43,53,53,53,53,43]",2026-02-11,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation repair middlesex county,30,30,70,0,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,636000,"[18,45,100]",2026-02-21,"Local pack, Video, Image, People also ask",commercial,Organic
leak savers,2,2,110,31,1.47,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,1,858000,"[19,7,26,26,53,65,80,80,53,26,26,11]",2026-02-11,"Sitelinks, Video, Video Carousel, People also ask, Related searches",navigational,People also ask
basement waterproofers boston,95,95,50,46,0.00,https://www.a1foundationcrackrepair.com/basement-waterproofing,0,0,0.00,0,274000,"[14,14,7,14,28,28,35,14,78,78,28,100]",2026-01-08,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,Organic
foundation sealing companies,85,85,70,44,11.52,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0.22,162000000,"[6,6,21,6,9,12,100,34,34,21,15,15]",2026-01-31,"Local pack, Video, People also ask, Related searches",commercial,Organic
rock and mortar foundation,75,75,70,6,1.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/can-you-stop-a-stone-foundation-from-leaking-with-mortar-foam-boston-ma,0,0,0.00,0.15,7110000,"[18,18,18,100,100,100,100,100,100,36,100,63]",2026-02-10,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
sunken front step repair,52,52,90,5,0.00,https://www.a1foundationcrackrepair.com/commercial-steps-repair,0,0,0.00,0,5710000,"[4,19,80,100,42,19,19]",2026-02-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation crack repair near me,63,63,3600,7,17.37,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0.09,0,"[16,23,44,29,35,54,100,81,44,29,23,16]",2026-03-07,"Local pack, Video, Image, Related searches",transactional,Organic
foundation crack repair near me,86,86,3600,7,17.37,https://www.a1foundationcrackrepair.com/rhode-island,0,0,0.00,0.09,0,"[16,23,44,29,35,54,100,81,44,29,23,16]",2026-03-07,"Local pack, Video, Image, Related searches",transactional,Organic
foundation stone wall,46,46,70,6,0.00,https://www.a1foundationcrackrepair.com/stone-foundation,0,0,0.00,0,154000000,"[64,11,11,52,52,0,0,0,64,82,100,100]",2026-02-03,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
sump pump contractors in lavista ne,64,64,40,0,0.00,https://www.a1foundationcrackrepair.com/sump-pump,0,0,0.00,0,0,"[0,77,55,33,33,100,44]",2026-03-07,"Local pack, Video, AI overview",commercial,Organic
stairway repair,33,33,50,9,4.49,https://www.a1foundationcrackrepair.com/damaged-stairs,0,0,0.00,0.41,30200000,"[5,24,0,0,0,0,0,5,3,2,2,3]",2026-02-21,"Local pack, Image pack, Video, Video Carousel, People also ask, Related searches",informational,Organic
what are bulkheads,39,39,260,9,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/everything-you-wanted-to-know-about-bulkheads-but-were-too-afraid-to-ask,0,0,0.00,0,3280000,"[43,22,10,43,81,54,100,81,100,100,35,29]",2026-02-15,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
water in elevator shaft,54,54,30,0,16.15,https://www.a1foundationcrackrepair.com/wet-elevator-pits-vaults,0,0,0.00,0.16,5450000,"[18,18,18,18,18,18,18,18,100,18,18,18]",2026-01-07,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, AI overview","informational, transactional",Organic
seal a leak,1,1,90,,3.64,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,0.6,163000000,"[52,52,52,41,64,41,41,64,82,64,52,52]",2026-01-14,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview","informational, transactional",People also ask
front steps repair,62,62,170,29,5.43,https://www.a1foundationcrackrepair.com/residential-steps-repair,0,0,0.00,0.62,300000000,"[0,1,4,4,2,81,4,100,36,5,4,4]",2026-02-17,"Knowledge panel, Sitelinks, Video, Image, Ads top, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, Ads middle, AI overview",informational,Organic
exterior foundation repair,33,33,320,25,12.78,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,0,0,0.00,0.71,41100000,"[5,7,11,14,14,72,100,100,72,14,9,5]",2026-01-31,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,Organic
exterior foundation repair,39,39,320,25,12.78,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/do-i-need-to-repair-exterior-foundation-walls-that-are-damaged-pitted-or-spalled,0,0,0.00,0.71,41100000,"[5,7,11,14,14,72,100,100,72,14,9,5]",2026-01-31,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,Organic
exterior foundation repair,83,83,320,25,12.78,https://www.a1foundationcrackrepair.com/,0,0,0.00,0.71,41100000,"[5,7,11,14,14,72,100,100,72,14,9,5]",2026-01-31,"Local pack, Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums",commercial,Organic
foundation crack repair carle place,35,35,70,0,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,63800,"[11,100,41,41,23,29,29]",2026-01-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",commercial,Organic
how to fix stone foundation,43,43,30,10,3.20,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/the-top-3-most-common-problems-with-stone-foundations,0,0,0.00,0.7,51700000,"[18,18,18,18,18,100,18,18,18,18,18,18]",2026-03-05,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
bulkhead framing,1,1,210,25,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/leaking_bulkheads_need_waterproofing,0,0,0.00,0,837000,"[65,53,53,65,65,65,65,65,65,53,53,53]",2026-02-25,"Image pack, Sitelinks, Video, Image, People also ask, Related searches, Short videos",informational,People also ask
ct basement waterproofing,13,13,30,52,10.24,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.82,688000,"[4,6,8,4,4,8,6,8,6,6,8,4]",2026-02-25,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
repair basement,78,78,320,11,19.83,https://www.a1foundationcrackrepair.com/connecticut,0,0,0.00,0.37,69600000,"[24,67,16,20,8,76,24,20,8,6,16,20]",2026-02-01,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos",informational,Organic
foundation and crack repair services,16,16,70,4,0.00,https://www.a1foundationcrackrepair.com/residential-services,0,0,0.00,0,11700000,"[14,50,35,50,50,64,100,100,50,14,0]",2026-02-02,"Local pack, Video, People also ask, Related searches, Discussions and forums",commercial,Organic
boise water leak repair,4,4,40,,0.00,https://www.a1foundationcrackrepair.com/foundation-crack-repair-basement-waterproofing-blog/flex-seal-reviews-does-it-really-work-on-leaking-basement-wall-cracks-and-leaks-boston,0,0,0.00,0,719000,"[80,100,40,80,100]",2026-03-02,"Local pack, Video, Ads top, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,People also ask
