Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
cracks on the floor,9,9,70,10,7.85,https://crackx.com/5-reasons-why-your-concrete-floor-is-cracking/,0,0,0.00,0.05,89500000,"[0,4,2,2,4,2,2,2,2,4,100,1]",2026-01-28,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
what is a frost quake,1,1,390,38,0.00,https://crackx.com/how-frost-affects-your-foundation/,0,0,0.00,0,2400000,"[0,7,66,10,2,1,0,0,0,0,0,0]",2026-01-12,"Instant answer, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
signs of bad foundation,48,48,70,20,3.55,https://crackx.com/6-signs-your-homes-foundation-is-failing/,0,0,0.00,0.27,150000000,"[50,64,35,35,21,21,28,100,35,64,35,28]",2026-02-06,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
signs of bad foundation,87,87,70,20,3.55,https://crackx.com/6-signs-your-homes-foundation-is-failing/,0,0,0.00,0.27,150000000,"[50,64,35,35,21,21,28,100,35,64,35,28]",2026-02-06,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
surface cracks in concrete,1,1,140,16,2.47,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.38,24000000,"[8,11,15,100,18,18,18,23,23,18,15,8]",2026-02-15,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
flat cellar doors,5,5,170,15,1.28,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,0,0,0.00,0.99,5220000,"[23,19,15,19,23,23,23,36,36,23,29,15]",2026-02-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,People also ask
flat cellar doors,5,5,170,15,1.28,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-2/,0,0,0.00,0.99,5220000,"[23,19,15,19,23,23,23,36,36,23,29,15]",2026-02-18,"Knowledge panel, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview",informational,People also ask
foundation repair uniontown pa,2,2,50,6,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0.95,93400,"[0,100,50,100,0,28,0,28,28,21,21,21]",2026-02-11,"Knowledge panel, People also ask, Related searches, AI overview",informational,People also ask
best foundation repair warranties in georgia,1,1,40,7,0.00,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,0,0,0.00,0,2440000,"[80,100,40]",2026-01-15,"Local pack, Video, People also ask, Related searches",commercial,People also ask
aquaguard foundation,1,1,720,44,12.16,https://crackx.com/foundation-repair/,0,0,0.00,0.43,174000,"[67,45,67,67,76,67,67,55,55,55,24,55]",2026-02-21,"Local pack, Video, Image, Ads bottom, Video Carousel, People also ask, Related searches, Short videos",navigational,People also ask
foundation maintenance tips,1,1,90,1,0.00,https://crackx.com/how-to-keep-your-foundation-strong-maintenance-tips/,0,0,0.00,0,285000000,"[9,9,9,19,33,42,23,80,100,80,66,66]",2026-02-25,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,AI overview
foundation maintenance tips,17,17,90,1,0.00,https://crackx.com/how-to-keep-your-foundation-strong-maintenance-tips/,0,0,0.00,0,285000000,"[9,9,9,19,33,42,23,80,100,80,66,66]",2026-02-25,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
foundation maintenance tips,94,94,90,1,0.00,https://crackx.com/maintain-a-repaired-foundation/,0,0,0.00,0,285000000,"[9,9,9,19,33,42,23,80,100,80,66,66]",2026-02-25,"Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
settlement in construction,32,32,50,14,0.00,https://crackx.com/what-is-foundation-settlement/,0,0,0.00,0.02,294000000,"[11,11,64,100,11,11,11,11,11,100,11,11]",2026-02-08,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
bulkhead doghouse,1,1,70,24,0.00,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-1/,0,0,0.00,0.33,47300,"[9,9,9,9,9,52,52,52,52,52,52,9]",2026-02-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
bulkhead doghouse,1,1,70,24,0.00,https://crackx.com/understanding-the-causes-of-a-leaking-bulkhead-part-2/,0,0,0.00,0.33,47300,"[9,9,9,9,9,52,52,52,52,52,52,9]",2026-02-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,People also ask
bulkhead doghouse,17,17,70,24,0.00,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.33,47300,"[9,9,9,9,9,52,52,52,52,52,52,9]",2026-02-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
bulkhead doghouse,25,25,70,24,0.00,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,0.33,47300,"[9,9,9,9,9,52,52,52,52,52,52,9]",2026-02-22,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches",informational,Organic
what is foundation settlement,27,27,40,3,1.90,https://crackx.com/what-is-foundation-settlement/,0,0,0.00,0.13,586000000,"[18,100,18,27,27,18,27,45,45,27,45,45]",2026-03-06,"Sitelinks, Video, Video Carousel, Related searches, Short videos, AI overview",informational,Organic
basement wall leak repair near me,40,40,170,10,0.00,https://crackx.com/maine/,0,0,0.00,0.33,14400000,"[8,100,3,8,5,8,10,10,8,3,3,2]",2026-02-03,"Local pack, Video, People also ask, Related searches",transactional,Organic
epoxy designs,9,9,210,22,2.45,https://crackx.com/epoxy-flooring-design-options/,0,0,0.00,0.84,26300000,"[81,35,35,35,35,43,35,43,29,43,54,54]",2026-01-21,"Local pack, Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Short videos",informational,Organic
concrete basement wall crack repair,3,3,30,15,7.41,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,1,4760000,"[18,18,18,18,18,18,100,18,18,18,18,18]",2026-02-25,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,People also ask
concrete basement wall crack repair,14,14,30,15,7.41,https://crackx.com/maine/,0,0,0.00,1,4760000,"[18,18,18,18,18,18,100,18,18,18,18,18]",2026-02-25,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
cold water damage,50,50,40,75,0.00,https://crackx.com/cold-water-impact-home-foundations/,0,0,0.00,0.01,347000000,"[6,6,9,6,81,6,6,6,6,6,6,6]",2026-03-02,"Video, People also ask, Related searches, AI overview",informational,Organic
signs of structural damage in house,20,20,30,13,3.94,https://crackx.com/signs-of-structural-damage-of-a-property/,0,0,0.00,0.24,39200000,"[40,80,40,40,40,40,40,60,60,100,100,80]",2026-01-09,"Sitelinks, Video, Featured snippet, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums","commercial, informational",Organic
cracked pattern,1,1,170,24,0.00,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0,137000000,"[52,80,52,80,66,80,66,66,66,100,100,80]",2026-02-15,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
cracked pattern,1,1,170,24,0.00,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0,137000000,"[52,80,52,80,66,80,66,66,66,100,100,80]",2026-02-15,"Image pack, Video, Image, People also ask, Related searches",informational,People also ask
what is a settling,80,80,1600,35,0.00,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,0,0,0.00,0,69400000,"[0,0,0,0,44,53,35,16,3,13,53,100]",2026-01-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
what is a settling,89,89,1600,35,0.00,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,0,0,0.00,0,69400000,"[0,0,0,0,44,53,35,16,3,13,53,100]",2026-01-11,"Knowledge panel, Sitelinks, Video, People also ask, Related searches",informational,Organic
epoxy for cracks,75,75,170,19,1.75,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.89,14200000,"[2,2,3,4,3,4,3,100,72,3,4,2]",2026-01-20,"Knowledge panel, Image pack, Sitelinks, Video, Video Carousel, Popular products, Related searches",transactional,Organic
completely dry waterproofing,58,58,50,31,0.00,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.39,26000000,"[7,7,7,7,15,42,34,42,34,7,7,7]",2026-01-20,"Knowledge panel, Sitelinks, Video, People also ask",navigational,Organic
foundation repair murfreesboro tn,2,2,90,12,35.99,https://crackx.com/foundation-repair/,0,0,0.00,0.9,294000,"[1,1,0,0,1,1,1,1,1,3,3,0]",2026-03-03,"Knowledge panel, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
foundation worx norcross ga,7,7,70,23,9.44,https://crackx.com/foundation-repair/,0,0,0.00,0.42,5960,"[81,63,81,81,63,63,63,45,45,63,81,63]",2026-02-27,"Knowledge panel, Sitelinks, Image, People also ask, Related searches",navigational,People also ask
dangers of mold in basement,26,26,70,31,1.95,https://crackx.com/6-warning-signs-you-have-mold-in-basement/,0,0,0.00,0.4,724000,"[52,52,41,17,41,23,29,64,41,5,41,41]",2026-01-30,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation crack repair north massapequa,43,43,50,1,0.00,https://crackx.com/connecticut/,0,0,0.00,0,33200,"[42,100,100]",2026-02-08,"Local pack, Image, People also ask, Related searches",commercial,Organic
mission foundation repair service,1,1,70,0,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,29700000,"[2,8,6,4,6,6,6,6,6,100]",2026-02-28,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",informational,People also ask
cracks in ceilings,1,1,140,29,2.83,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.21,7230000,"[20,36,16,20,5,0,0,5,0,0,13,10]",2026-02-14,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, Things to know, Discussions and forums, AI overview",informational,People also ask
foundation water damage,49,49,390,7,12.56,https://crackx.com/building-foundation-water-damage/,0,0,0.00,0.09,446000000,"[23,23,29,44,29,36,36,81,100,66,54,66]",2026-01-22,"Sitelinks, Video, People also ask, Related searches, Things to know, AI overview",informational,Organic
drywall cracks,1,1,880,10,3.33,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.16,8850000,"[13,16,20,16,16,10,10,10,10,10,10,100]",2026-01-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
drywall cracks,1,1,880,10,3.33,https://crackx.com/settling-vs-foundation-failure-understanding-the-difference/,0,0,0.00,0.16,8850000,"[13,16,20,16,16,10,10,10,10,10,10,100]",2026-01-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
drywall cracks,1,1,880,10,3.33,https://crackx.com/do-foundation-cracks-affect-home-value-what-you-should-know/,0,0,0.00,0.16,8850000,"[13,16,20,16,16,10,10,10,10,10,10,100]",2026-01-07,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
pine crack,1,1,110,12,0.00,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.33,11700000,"[10,10,7,4,15,100,2,0,2,2,0,2]",2026-02-19,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, AI overview",informational,People also ask
foundation crack repair contractors,17,17,260,15,0.00,https://crackx.com/natick-massachusetts/,0,0,0.00,0.04,3840000,"[3,6,11,23,28,28,81,66,100,54,44,44]",2026-02-03,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
foundation crack repair contractors,67,67,260,15,0.00,https://crackx.com/maine/,0,0,0.00,0.04,3840000,"[3,6,11,23,28,28,81,66,100,54,44,44]",2026-02-03,"Local pack, Sitelinks, Video, Ads bottom, People also ask, Related searches",commercial,Organic
basement foundation price,76,76,590,25,3.61,https://crackx.com/cost-of-finishing-a-basement-the-truth/,0,0,0.00,0.13,27000000,"[3,8,3,0,81,100,81,62,6,45,62,45]",2026-01-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",transactional,Organic
basement foundation price,77,77,590,25,3.61,https://crackx.com/cost-of-finishing-a-basement-the-truth/,0,0,0.00,0.13,27000000,"[3,8,3,0,81,100,81,62,6,45,62,45]",2026-01-13,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",transactional,Organic
what to do if foundation is cracked,1,1,30,18,7.52,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.65,131000000,"[40,40,40,40,40,40,40,60,60,80,100,100]",2026-02-22,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
quartz floor coating,75,75,70,6,2.05,https://crackx.com/epoxy-decorative-quartz-floor/,0,0,0.00,0.91,10900000,"[45,63,18,63,63,45,45,81,81,100,100,100]",2026-02-06,"Image pack, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums, AI overview","informational, transactional",Organic
foundation repair dayton,9,9,90,5,22.13,https://crackx.com/foundation-repair/,0,0,0.00,0.89,1370000,"[50,35,50,64,64,64,50,50,50,78,100,35]",2026-02-26,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
basement waterproofing detail,1,1,70,14,0.00,https://crackx.com/the-common-basement-waterproofing-mistakes-you-dont-want-to-make/,0,0,0.00,0.59,11400000,"[23,23,23,23,33,33,80,23,23,23,23,9]",2026-02-28,"Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,People also ask
foundation repair oklahoma,3,3,70,46,10.84,https://crackx.com/foundation-repair/,0,0,0.00,0.59,17800000,"[3,11,15,19,15,19,15,19,53,26,53,42]",2026-02-11,"Local pack, Video, Image, People also ask, Related searches",commercial,People also ask
slurry seal companies near me,42,42,50,29,6.27,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.68,5790000,"[1,2,1,1,2,2,1,4,2,1,0,0]",2026-01-20,"Local pack, Sitelinks, Video, People also ask, Related searches",transactional,Organic
how to seal basement cracks in walls,26,42,70,0,1.53,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0.95,150,"[35,50,21,64,50,78,64,50,28,50,50,35]",2026-03-08,"Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
fieldstone basement,36,36,110,7,3.54,https://crackx.com/fieldstone-foundation-repair-restoration/,0,0,0.00,0.1,1150000,"[50,78,50,78,78,78,64,100,100,64,78,78]",2026-02-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
fieldstone basement,45,45,110,7,3.54,https://crackx.com/fieldstone-foundation-repair-restoration/,0,0,0.00,0.1,1150000,"[50,78,50,78,78,78,64,100,100,64,78,78]",2026-02-07,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
new orleans foundation repair,8,8,110,3,12.00,https://crackx.com/foundation-repair/,0,0,0.00,0.94,148,"[64,29,29,41,41,41,52,100,100,82,82,82]",2026-03-05,"Local pack, Sitelinks, Video, People also ask, Related searches",commercial,People also ask
foundation repair techniques,1,1,140,1,5.97,https://crackx.com/foundation-repair/,0,0,0.00,0.07,110000000,"[7,7,42,42,65,53,65,53,100,53,65,53]",2026-02-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,People also ask
foundation repair techniques,27,27,140,1,5.97,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,0,0,0.00,0.07,110000000,"[7,7,42,42,65,53,65,53,100,53,65,53]",2026-02-08,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
basement floor repair near me,47,47,90,22,11.63,https://crackx.com/maine/,0,0,0.00,0.99,32000000,"[12,34,21,15,15,34,21,53,100,21,21,15]",2026-02-24,"Local pack, Video, People also ask, Related searches",transactional,Organic
shut off valve stuck,55,55,40,17,11.32,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.23,45900000,"[77,77,0,44,11,0,11,55,33,55,100,55]",2026-01-20,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
how to fix foundation cracks by yourself,1,1,390,19,1.80,https://crackx.com/a-comprehensive-guide-to-different-foundation-repair-methods/,0,0,0.00,0.89,19300000,"[81,54,54,44,66,81,66,66,66,66,66,100]",2026-01-08,"Image pack, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,People also ask
how to fix foundation cracks by yourself,32,32,390,19,1.80,https://crackx.com/diy-vs-professional-foundation-crack-repair-what-homeowners-need-to-know/,0,0,0.00,0.89,19300000,"[81,54,54,44,66,81,66,66,66,66,66,100]",2026-01-08,"Image pack, Video, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
foundation cracks walls,67,67,170,14,4.75,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0.55,22700000,"[53,53,53,34,34,100,100,43,34,65,65,81]",2026-01-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
floor foundation repair,88,88,210,22,17.26,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.95,112000000,"[3,5,6,6,8,5,6,20,100,13,1,2]",2026-01-20,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
frost heave definition,58,58,110,40,0.00,https://crackx.com/frost-heave/,0,0,0.00,0,326000,"[17,17,28,17,35,53,53,23,23,43,35,12]",2026-01-26,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
frost heave definition,81,81,110,40,0.00,https://crackx.com/a-comprehensive-guide-to-frost-heave-and-its-prevention/,0,0,0.00,0,326000,"[17,17,28,17,35,53,53,23,23,43,35,12]",2026-01-26,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
frost heave definition,91,91,110,40,0.00,https://crackx.com/a-comprehensive-guide-to-frost-heave-and-its-prevention/,0,0,0.00,0,326000,"[17,17,28,17,35,53,53,23,23,43,35,12]",2026-01-26,"Instant answer, Image pack, Sitelinks, Video, Image, People also ask, Related searches, AI overview",informational,Organic
maine cr,51,51,90,46,0.00,https://crackx.com/foundation-cr-maine/,0,0,0.00,0,14500000,"[2,12,36,36,9,15,9,9,12,6,5,6]",2026-02-26,"Sitelinks, Video, People also ask, Related searches",navigational,Organic
foam foundation repair cost,46,46,70,16,8.41,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.77,15500000,"[53,7,7,19,11,15,19,100,42,11,7,7]",2026-01-20,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
foam foundation repair cost,51,51,70,16,8.41,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.77,15500000,"[53,7,7,19,11,15,19,100,42,11,7,7]",2026-01-20,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
foam foundation repair cost,69,69,70,16,8.41,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.77,15500000,"[53,7,7,19,11,15,19,100,42,11,7,7]",2026-01-20,"Sitelinks, Video, Ads bottom, People also ask, Related searches, Discussions and forums, Ads middle, AI overview",informational,Organic
bulkheads aquarium,1,1,90,6,0.39,https://crackx.com/how-to-replace-a-bulkhead-door/,0,0,0.00,0.96,115000,"[0,52,64,82,52,52,41,52,100,64,41,29]",2026-02-27,"Image pack, Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, AI overview","informational, transactional",People also ask
basement cement wall repair,68,68,30,10,9.18,https://crackx.com/maine/,0,0,0.00,0.65,7520000,"[17,11,11,11,11,11,11,64,11,11,11,11]",2026-02-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches, Short videos, AI overview",informational,Organic
how to get rid of radon in house,82,82,140,36,0.79,https://crackx.com/reducing-radon-in-your-home/,0,0,0.00,0.6,3430000,"[29,22,14,18,10,54,14,29,43,22,35,35]",2026-02-14,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, Ads middle, AI overview",informational,Organic
epoxy for foundation crack repair,57,57,40,11,4.08,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.79,2940000,"[14,28,42,100,71,42,28,100,100,71,42,42]",2026-01-20,"Sitelinks, Video, Image, Video Carousel, People also ask, Popular products, Related searches, Discussions and forums",commercial,Organic
how to seal foundation cracks,48,48,260,11,2.37,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0.91,11700000,"[29,22,43,54,81,66,66,54,43,43,29,43]",2026-03-06,"Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
how to seal foundation cracks,67,67,260,11,2.37,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0.91,11700000,"[29,22,43,54,81,66,66,54,43,43,29,43]",2026-03-06,"Sitelinks, Video, Video Carousel, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
httpcrack,44,44,40,38,3.20,https://crackx.com/,0,0,0.00,0.01,904,"[0,0,0,0,0,0,0,0,0,100,0,0]",2026-01-08,"Sitelinks, Video, Image, Video Carousel, People also ask, Related searches","navigational, transactional",Organic
foundation crack repair specialist,26,26,140,36,0.00,https://crackx.com/merrimack-valley-massachusetts/foundation-crack-repair/,0,0,0.00,0.05,1340000,"[7,7,53,65,53,65,65,65,100,100,53,11]",2026-01-05,"Local pack, Video, Ads bottom, People also ask, Related searches, Discussions and forums",commercial,Organic
do tree roots damage foundations,68,68,70,12,0.00,https://crackx.com/how-tree-roots-slowly-damage-your-slab-foundation/,0,0,0.00,0.03,7490000,"[11,34,26,65,42,42,0,34,19,11,11,19]",2026-01-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, Discussions and forums, AI overview",informational,Organic
repair concrete foundation cracks,74,74,90,17,8.44,https://crackx.com/diy-vs-professional-foundation-crack-repair-what-homeowners-need-to-know/,0,0,0.00,0.91,7590000,"[0,4,23,42,33,9,52,66,66,42,66,66]",2026-01-20,"Local pack, Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
waterproofing contractors md,9,9,30,19,20.32,https://crackx.com/the-common-basement-waterproofing-mistakes-you-dont-want-to-make/,0,0,0.00,0.52,2300000,"[18,18,18,18,18,18,100,18,18,18,18,18]",2026-02-25,"Local pack, Video, People also ask, Related searches",commercial,People also ask
foundation repair free estimates,1,1,40,17,23.50,https://crackx.com/foundation-repair/,0,0,0.00,0.18,32600000,"[0,7,14,7,21,28,35,50,64,64,64,28]",2026-02-27,"Local pack, Video, Ads bottom, People also ask, Related searches",commercial,People also ask
garage floor cracked and uneven,1,1,260,13,6.31,https://crackx.com/hairline-vs-structural-how-to-tell-what-type-of-foundation-floor-crack-you-have/,0,0,0.00,0.84,2470000,"[5,5,6,6,67,100,8,10,6,8,8,3]",2026-03-01,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,People also ask
bilco bulkhead repair,1,1,90,12,1.19,https://crackx.com/bilco-bulkhead-door-installation-replace/,0,0,0.00,1,8230,"[0,0,11,0,3,3,3,0,80,100,80,80]",2026-01-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,AI overview
bilco bulkhead repair,5,5,90,12,1.19,https://crackx.com/bilco-bulkhead-door-installation-replace/,0,0,0.00,1,8230,"[0,0,11,0,3,3,3,0,80,100,80,80]",2026-01-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
bilco bulkhead repair,9,9,90,12,1.19,https://crackx.com/merrimack-valley-massachusetts/bilco-basement-bulkhead-doors-installation/,0,0,0.00,1,8230,"[0,0,11,0,3,3,3,0,80,100,80,80]",2026-01-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
bilco bulkhead repair,9,9,90,12,1.19,https://crackx.com/merrimack-valley-massachusetts/bilco-basement-bulkhead-doors-installation/,0,0,0.00,1,8230,"[0,0,11,0,3,3,3,0,80,100,80,80]",2026-01-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Image pack
bilco bulkhead repair,37,37,90,12,1.19,https://crackx.com/bulkhead-door-installation-of-maine/,0,0,0.00,1,8230,"[0,0,11,0,3,3,3,0,80,100,80,80]",2026-01-09,"Image pack, Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
foundation repair raleigh,2,2,110,28,35.05,https://crackx.com/foundation-repair/,0,0,0.00,0.32,3760000,"[2,10,6,16,6,3,3,16,20,10,5,6]",2026-02-15,"Local pack, Sitelinks, Video, Image, People also ask, Related searches",commercial,People also ask
basement foundation crack repair,34,34,880,16,16.65,https://crackx.com/connecticut/,0,0,0.00,0.78,4450000,"[11,16,25,31,68,84,84,100,52,31,31,25]",2026-01-26,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
basement foundation crack repair,37,37,880,16,16.65,https://crackx.com/maine/,0,0,0.00,0.78,4450000,"[11,16,25,31,68,84,84,100,52,31,31,25]",2026-01-26,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
basement foundation crack repair,56,56,880,16,16.65,https://crackx.com/connecticut/,0,0,0.00,0.78,4450000,"[11,16,25,31,68,84,84,100,52,31,31,25]",2026-01-26,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
basement foundation crack repair,82,82,880,16,16.65,https://crackx.com/fix-cracks-in-a-foundation-wall/,0,0,0.00,0.78,4450000,"[11,16,25,31,68,84,84,100,52,31,31,25]",2026-01-26,"Local pack, Video, Video Carousel, People also ask, Related searches, Short videos, Discussions and forums, AI overview",informational,Organic
home foundation fix poquoson,8,8,40,3,0.00,https://crackx.com/foundation-repair/,0,0,0.00,0,57400,"[80,100]",2026-02-17,"Knowledge panel, Video, Ads bottom, People also ask, Related searches, AI overview",informational,People also ask
wet basement repair cost,60,60,210,14,7.97,https://crackx.com/elevator-pit-crack-repair-in-natick-ma-that-lasts/,0,0,0.00,0.7,10900000,"[5,5,4,4,15,100,81,67,7,2,2,2]",2026-01-20,"Sitelinks, Video, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
crack in wall drawing,1,1,40,22,0.00,https://crackx.com/identifying-structural-cracks/,0,0,0.00,0.33,19100000,"[18,18,18,18,100,18,18,18,18,18,100,18]",2026-02-19,"Image pack, Video, Image, Video Carousel, People also ask, Related searches, Discussions and forums","informational, transactional",People also ask
